case_id,baseline_wall_s,primary_binding_signature,all_actionable_signatures,target_side,achieved_sides,target_side_ever_achieved,best_pass_count,best_constraint_vector,failure_reason,projected_size,f_target,unique_candidates,budget_exhausted,A_wall_s,A_rescue_triggered,A_rescue_evals,A_rescue_won,A_accepted,B_wall_s,B_rescue_triggered,B_rescue_evals,B_rescue_won,B_accepted
142,43.613,ONE_MISS_TARGET,ONE_MISS_TARGET|TWO_MISS_G2_TARGET|TWO_MISS_SIDE_TARGET,bottom,"{""bottom"": 16}",True,4,"{""side"": true, ""vis"": 135, ""target"": -0.21349316456071077, ""G1"": 2, ""G2"": 1}",bounded_local_search_exhausted,0.08729626591332634,0.3398625913123031,42,10,,,,,,,,,,
143,53.237,MULTI_CONSTRAINT,,left,"{""center"": 2}",False,2,"{""side"": false, ""vis"": 3484, ""target"": -0.5437701505643568, ""G1"": -2, ""G2"": 0}",bounded_local_search_exhausted,0.16103721540703184,0.165924172579748,49,9,,,,,,,,,,
146,44.895,TWO_MISS_G1_SIDE,TWO_MISS_G1_SIDE|TWO_MISS_G2_SIDE,bottom,"{""right"": 38, ""center"": 6, ""left"": 3}",False,3,"{""side"": false, ""vis"": 825, ""target"": 0.04047682563764782, ""G1"": -4, ""G2"": 0}",bounded_local_search_exhausted,0.28305528439132166,0.24104336438610516,55,9,,,,,,,,,,
154,63.082,ONE_MISS_G2,ONE_MISS_G2,left,"{""left"": 53, ""bottom"": 2}",True,4,"{""side"": true, ""vis"": 56, ""target"": 0.010630269504591547, ""G1"": 2, ""G2"": -1}",bounded_local_search_exhausted,0.22440173006486192,0.13714750827318622,60,12,,,,,,,,,,
158,40.025,ONE_MISS_G1,ONE_MISS_G1|TWO_MISS_G1_TARGET|TWO_MISS_G2_TARGET,right,"{""right"": 28}",True,4,"{""side"": true, ""vis"": 654, ""target"": 0.06638455393830614, ""G1"": -1, ""G2"": 0}",bounded_local_search_exhausted,0.29570855265420126,0.29693888819819236,57,9,,,,,,,,,,
163,50.616,ONE_MISS_G1,ONE_MISS_G1|ONE_MISS_G2|TWO_MISS_G2_TARGET,left,"{""left"": 10}",True,4,"{""side"": true, ""vis"": 3543, ""target"": 0.003610660104411384, ""G1"": 0, ""G2"": -1}",bounded_local_search_exhausted,0.8049923202759377,0.27683038399999904,49,8,,,,,,,,,,
173,73.302,ONE_MISS_SIDE,ONE_MISS_SIDE|TWO_MISS_G2_SIDE|TWO_MISS_SIDE_TARGET,left,"{""bottom"": 27}",False,4,"{""side"": false, ""vis"": 514, ""target"": 0.09802036048045873, ""G1"": 0, ""G2"": 0}",bounded_local_search_exhausted,0.0942514050031087,0.1150761980439105,57,9,,,,,,,,,,
180,18.743,MULTI_CONSTRAINT,,left,{},False,1,"{""side"": false, ""vis"": -8, ""target"": -0.08059055421810052, ""G1"": 0, ""G2"": -1}",bounded_local_search_exhausted,0.8427326106036971,0.20059055421810051,33,7,,,,,,,,,,
184,41.257,ONE_MISS_G1,ONE_MISS_G1|ONE_MISS_TARGET|TWO_MISS_G1_TARGET,left,"{""left"": 18}",True,4,"{""side"": true, ""vis"": 5666, ""target"": -0.16381283141061898, ""G1"": 1, ""G2"": 1}",bounded_local_search_exhausted,0.375071056510182,0.3836264574201448,59,11,,,,,,,,,,
192,67.676,ONE_MISS_G2,ONE_MISS_G2|TWO_MISS_G2_SIDE,right,"{""right"": 46, ""bottom"": 9}",True,4,"{""side"": true, ""vis"": 535, ""target"": 0.11187098080364809, ""G1"": 2, ""G2"": -1}",bounded_local_search_exhausted,0.23303177187599905,0.123365894996608,60,12,,,,,,,,,,
199,58.14,ONE_MISS_SIDE,ONE_MISS_SIDE|TWO_MISS_SIDE_VISIBILITY,right,{},False,4,"{""side"": false, ""vis"": 527, ""target"": 0.009070458302342974, ""G1"": 1, ""G2"": 0}",bounded_local_search_exhausted,0.662335781758141,0.11092954169765702,58,10,,,,,,,,,,
201,59.789,ACCEPTED,,left,"{""left"": 8}",True,5,"{""side"": true, ""vis"": 1511, ""target"": 0.05429435818135947, ""G1"": 1, ""G2"": 0}",G3,0.29959005192826543,0.3417435681136394,29,4,60.556,False,0,False,False,59.893,False,0,False,False
209,104.665,ONE_MISS_G1,ONE_MISS_G1|ONE_MISS_G2|TWO_MISS_G1_SIDE|TWO_MISS_G1_TARGET|TWO_MISS_G2_SIDE|TWO_MISS_G2_TARGET,bottom,"{""bottom"": 25, ""center"": 30, ""left"": 2, ""right"": 2}",True,4,"{""side"": true, ""vis"": 219, ""target"": 0.01287633957876616, ""G1"": 0, ""G2"": -1}",bounded_local_search_exhausted,0.19429416337580507,0.3653783774023659,56,10,109.348,True,6,False,False,108.819,True,6,False,False
216,17.216,TWO_MISS_SIDE_TARGET,TWO_MISS_SIDE_TARGET,right,"{""left"": 1, ""center"": 1}",False,3,"{""side"": false, ""vis"": 3705, ""target"": -0.2134420372857298, ""G1"": 2, ""G2"": 1}",bounded_local_search_exhausted,0.5574638590246012,0.409656798583364,11,3,,,,,,,,,,
217,34.382,MULTI_CONSTRAINT,,left,"{""bottom"": 1}",False,2,"{""side"": false, ""vis"": 62, ""target"": -0.09982002935510148, ""G1"": 0, ""G2"": -1}",bounded_local_search_exhausted,0.9522842770836762,0.22549744870994018,41,7,,,,,,,,,,
222,170.669,ONE_MISS_SIDE,ONE_MISS_SIDE|TWO_MISS_G1_TARGET|TWO_MISS_G2_SIDE|TWO_MISS_SIDE_TARGET,bottom,"{""center"": 49, ""left"": 5, ""right"": 5, ""bottom"": 1}",True,4,"{""side"": false, ""vis"": 781, ""target"": 0.05196578972226845, ""G1"": 0, ""G2"": 1}",bounded_local_search_exhausted,0.09983160511653726,0.17982903758551633,57,9,186.987,True,6,False,False,190.968,True,8,False,False
225,56.955,ONE_MISS_SIDE,ONE_MISS_SIDE|ONE_MISS_TARGET|TWO_MISS_G2_TARGET|TWO_MISS_SIDE_TARGET,left,"{""bottom"": 9, ""center"": 4, ""left"": 2}",True,4,"{""side"": false, ""vis"": 2757, ""target"": 0.03740358634787966, ""G1"": 2, ""G2"": 0}",bounded_local_search_exhausted,0.28961103520979786,0.3945422839274353,42,10,,,,,,,,,,
226,26.897,MULTI_CONSTRAINT,,right,{},False,1,"{""side"": false, ""vis"": -8, ""target"": -0.10514819258691688, ""G1"": 0, ""G2"": -1}",bounded_local_search_exhausted,0.9330207963872553,0.22514819258691687,33,5,,,,,,,,,,
229,93.304,ACCEPTED,,right,"{""right"": 9, ""center"": 1}",True,5,"{""side"": true, ""vis"": 773, ""target"": 0.039872652649913576, ""G1"": 0, ""G2"": 1}",G5,0.162540931173661,0.3952533977702545,28,3,94.752,False,0,False,False,94.702,False,0,False,False
237,92.639,ONE_MISS_G1,ONE_MISS_G1|ONE_MISS_TARGET|TWO_MISS_G1_TARGET,right,"{""right"": 41}",True,4,"{""side"": true, ""vis"": 3739, ""target"": -0.2761641971997995, ""G1"": 0, ""G2"": 1}",bounded_local_search_exhausted,0.4039123437889626,0.39731230282551705,66,10,,,,,,,,,,
238,41.911,ONE_MISS_SIDE,ONE_MISS_SIDE|TWO_MISS_G2_SIDE,right,{},False,4,"{""side"": false, ""vis"": 419, ""target"": 0.0003882314440832174, ""G1"": 3, ""G2"": 0}",bounded_local_search_exhausted,0.1624351161932135,0.11961176855591678,41,9,45.405,True,6,False,False,46.344,True,7,False,False
242,73.702,ONE_MISS_SIDE,ONE_MISS_SIDE|TWO_MISS_SIDE_TARGET,right,"{""bottom"": 37}",False,4,"{""side"": false, ""vis"": 138, ""target"": 0.021936035848843405, ""G1"": 1, ""G2"": 1}",bounded_local_search_exhausted,0.07515442334073334,0.3380639641511566,58,11,,,,,,,,,,
