old_reference,source_file,line,classification,action,new_reference,verified_exists,notes,raw_line
data/pallet/_emptywood_test/_smoke15_sheet.jpg,_docs/history/2026-06-17.md,201,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,"- 시트: `data/pallet/_emptywood_test/_smoke15_sheet.jpg`, stats: `data/pallet/_emptywood_test/logs/stats_test_batch_000_chunk_000000.json`"
data/pallet/_emptywood_test/logs/stats_test_batch_000_chunk_000000.json,_docs/history/2026-06-17.md,201,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,"- 시트: `data/pallet/_emptywood_test/_smoke15_sheet.jpg`, stats: `data/pallet/_emptywood_test/logs/stats_test_batch_000_chunk_000000.json`"
data/pallet/_emptywood_test/test_batch_000,_docs/history/2026-06-17.md,196,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,"### 소량 검증 (15장, headless, `data/pallet/_emptywood_test/test_batch_000/`)"
data/pallet/_emptywood_test/test_batch_000,_docs/history/2026-06-17.md,197,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,- 커맨드: `EMPTYWOOD_WOOD_ONLY=1 EMPTYWOOD_NO_CARGO=1 blender -b synth_data_scene.blend --python gen_dataset_v4.py -- --split train --flat_out --start_idx 0 --num_frames 15 --seed 9100 --out_dir data/pal
data/pallet/_floor_fix_test/_sheet.png,_docs/history/2026-06-16.md,617,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,- 비교 렌더 6종 → `data/pallet/_floor_fix_test/_sheet.png`:
data/pallet/_floor_fix_test/_sheet.png,_docs/history/changelog.md,126,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,"- 2026-06-16: 바닥 텍스처 항상 회색 버그 수정 — floor_texture 라벨 무관 회색. 원인=randomize_background가 매프레임 BG_industrial 재노출→자체 `Floor*_Asphalt_0` 20장(z≈0)이 FloorRandPlane(z=-6mm) 가림(raycast plane 0.7%↔asphalt 93%, 사용자"
data/pallet/_floor_smoke10,_docs/history/2026-06-17.md,66,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,--split train --flat_out --start_idx 0 --num_frames 10 --seed 9100 --out_dir data/pallet/_floor_smoke10 --overlay_every 1`
data/pallet/_floor_smoke10,_docs/history/2026-06-17.md,68,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,"- exit 0, 4.5s/frame, pass=34.5%. 출력 `data/pallet/_floor_smoke10/`(training_data_v4·_bg1bak 미변경)."
data/pallet/_floor_smoke10/_sheet_overlay.jpg,_docs/history/2026-06-17.md,93,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,- `data/pallet/_floor_smoke10/_sheet_overlay.jpg` (cuboid/0123 라벨)
data/pallet/_floor_smoke10/_sheet_raw.jpg,_docs/history/2026-06-17.md,92,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,- `data/pallet/_floor_smoke10/_sheet_raw.jpg` (바닥/접지 육안)
data/pallet/_floor_uv_test,_docs/history/2026-06-17.md,171,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,개별: `data/pallet/_floor_uv_test/<tex>_mpt<val>.png` (15장)
data/pallet/_floor_uv_test/_sheet.png,_docs/history/2026-06-17.md,51,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,"- 비교 시트: `data/pallet/_floor_uv_test/_sheet.png` (행=텍스처, 열=metres_per_tile, 라벨 포함)"
data/pallet/_floor_uv_test/_sheet.png,_docs/history/2026-06-17.md,170,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,"시트: `data/pallet/_floor_uv_test/_sheet.png` (행=텍스처, 열=mpt 1.0/1.5/2.0/3.0/6.0)"
data/pallet/_mask_poc/holdout_mask.png,_docs/history/2026-06-23.md,17,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,"- **채택 = 2-pass holdout**: 메인 렌더 후, 팔레트만 흰 emission / 나머지 메시 전부 검정 emission / world=None / view_transform=Standard 로 1패스 더 렌더 → 이진 visible mask. occluder·cargo가 검정으로 가린 부분이 자동 제외됨. PoC `data/pallet/_m"
data/pallet/_mask_test10,_docs/history/2026-06-23.md,34,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,"- 명령: `""/c/Program Files/Blender Foundation/Blender 5.1/blender.exe"" -b data/pallet/blender_scene/_sandbox_palletobj_production.blend --python scripts/data_prep/blender/run_mass_10k.py -- --num_frames"
data/pallet/_mat_test10,_docs/history/2026-06-16.md,202,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,- 명령: `blender -b synth_data_scene.blend --python gen_dataset_v4.py -- --split train --start_idx 0 --num_frames 10 --seed 91000 --out_dir data/pallet/_mat_test10 --overlay_every 1`
data/pallet/_mat_test10b,_docs/history/2026-06-16.md,243,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,"- 10장(gen_dataset_v4 `--out_dir data/pallet/_mat_test10b`, 4.5s/frame, pass 27.8%):"
data/pallet/_mat_test10d,_docs/history/2026-06-16.md,324,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,"- 혼합 10장(`_regen_mixed10.py`) → `data/pallet/_mat_test10d/`(scene 4/2/4): scene_3 R-B +38~+58, scene_2 +38/+40, scene_1(플라스틱) +4/−3/+19(중립=정상). conn 전수0, front_near 전수True, teal 0. crop 육안 scene_3 dec"
data/pallet/_mat_test10d,_docs/history/2026-06-16.md,328,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,"- 검증 데이터: `data/pallet/_mat_test10d/`, `data/pallet/_mat_test10d_scene3/`"
data/pallet/_mat_test10d_scene3,_docs/history/2026-06-16.md,323,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,"- scene_3 강제 6장(`_regen_scene3.py`, weights [0,0,0,1]) → `data/pallet/_mat_test10d_scene3/`: conn 전수0, front_near 전수True, deck R-B +14~+47 전부 warm. clean crop 육안 갈색 목재결."
data/pallet/_mat_test10d_scene3,_docs/history/2026-06-16.md,328,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,"- 검증 데이터: `data/pallet/_mat_test10d/`, `data/pallet/_mat_test10d_scene3/`"
data/pallet/_mat_test10e,_docs/history/2026-06-16.md,349,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,"### 검증 (data/pallet/_mat_test10e, seed 9100, 10장)"
data/pallet/_material_compare,_docs/history/2026-06-16.md,173,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,"- 출력: `data/pallet/_material_compare/` — `_sheet_Pallet_{1,2,3}.png`(before|woodA|mixedB|wood_drC),"
data/pallet/_mesh_proc_compare,_docs/history/2026-06-23.md,67,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,"- 산출(검증용, 사본): `data/pallet/_mesh_proc_compare/`(orig/proc/remesh side·top), `_mask_poc/holdout_mask.png`. 원본 `data/palletobj/pallet_full.obj` 미변경."
data/pallet/_noai_quarantine_usd,_docs/history/2026-07-24.md,50,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,"- `scene_2.usd`(P2)·`scene_3.usd`(P3) → `data/pallet/_noai_quarantine_usd/` 격리(삭제X, README). ⚠️8+스크립트 참조 → v2 gen 전 repoint 필요."
data/pallet/_pallet_catalog_0123/pallet_0123_row.png,_docs/history/2026-07-23.md,48,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,"- 4종 팔레트 카탈로그 렌더: `data/pallet/_pallet_catalog_0123/pallet_0123_row.png`(정면 나열), `pallet_0123_side_p0.png`(P0쪽 측면), 스크립트 `render_pallet_catalog{,_side}.py`."
data/pallet/_perm_v4_fix_check/000002_compare.png,_docs/history/2026-07-03.md,62,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,- 검증: azimuth sweep 수정후 24/24 FRONT 4면 순환. 000002/4/8 FRONT -Y→+X. 오버레이 `data/pallet/_perm_v4_fix_check/000002_compare.png`(4/8도). connector-cross 0/288 유지.
data/pallet/_split_test,_docs/history/2026-06-16.md,440,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,"### 소량 검증 (data/pallet/_split_test, 검증 후 삭제됨)"
data/pallet/_test_topview,_docs/history/2026-06-15.md,290,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,"- N=24, Blender 5.1 headless + synth_data_scene.blend, Cycles 24spp. out=`data/pallet/_test_topview/`."
data/pallet/_v2_cleanbase_smoke20_seed7100,_docs/history/2026-07-28.md,333,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,- `data/pallet/_v2_cleanbase_smoke20_seed7100` — **존재하지 않음**. `data/pallet/` 전체에
data/pallet/_v2_scene_logic,_docs/history/2026-07-26-v2-attempt-log.md,402,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,아래 인덱스는 2026-07-26 종료 시점 `data/pallet/_v2_scene_logic*` 디렉터리 133개를 시간순으로 분류한 것이다. 이름이 길어 공통 접두사 `data/pallet/_v2_scene_logic_`는 생략했다. `empty`는 디렉터리는 있지만 완결된 `records.jsonl` record가 없는 실행이다.
data/pallet/_v2_scene_logic_,_docs/history/2026-07-26-v2-attempt-log.md,402,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,아래 인덱스는 2026-07-26 종료 시점 `data/pallet/_v2_scene_logic*` 디렉터리 133개를 시간순으로 분류한 것이다. 이름이 길어 공통 접두사 `data/pallet/_v2_scene_logic_`는 생략했다. `empty`는 디렉터리는 있지만 완결된 `records.jsonl` record가 없는 실행이다.
data/pallet/_v2_smoke50_9d/contact_sheets_archive_style/detailed_001..005.png,_docs/history/2026-07-28.md,339,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,data/pallet/_v2_smoke50_9d/contact_sheets_archive_style/detailed_001..005.png (5)
data/pallet/_v4_verify,_docs/history/2026-06-16.md,496,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,- 임시 검증 폴더(`data/pallet/_v4_verify`) 삭제. Blender 프로세스 0 확인.
data/pallet/_wood_skin_compare,_docs/history/changelog.md,125,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,"- 2026-06-16: 목재 팔레트(scene_2/3) 나무 스킨 다양화 — Polyhaven 나무 판자 6종 추가(textures_wood 9 base/27 png), config wood 그룹 6→11 variant(밝은pine~tan~cabin~dark_knot~grey~reddish, uv_scale 0.85~1.15, weight합1.0). 코드"
data/pallet/_wood_skin_compare/catalog_wood_skins.png,_docs/history/2026-06-16.md,534,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,- 카탈로그 시트 `data/pallet/_wood_skin_compare/catalog_wood_skins.png`
data/pallet/_wood_skin_compare/catalog_wood_skins_v2.png,_docs/history/2026-06-16.md,581,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,- 재렌더: `data/pallet/_wood_skin_compare/catalog_wood_skins_v2.png`
data/pallet/models_usd/scene,_docs/method/step1_synthetic_data.md,23,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,4종 USD 팔레트 모델 사용 (`data/pallet/models_usd/scene*.usd`).
data/pallet/pallet_scene,_docs/history/2026-07-06.md,16,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,"- 원본 glTF(`scene*.gltf`) + `data/pallet/pallet_scene/` 폴더는 현재 저장소에 **없음**(USD 캐시만 잔존). config(`config/synthetic/isaac_sim.yaml`)의 `gltf_files:[scene,scene_1,scene_2,scene_3].gltf` 경로도 실재 파일 없음."
data/pallet/test_blender_v65~v70,_docs/history/2026-04-06.md,86,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,| `data/pallet/test_blender_v65~v70/` | 렌더링 출력 (총 ~8100프레임) |
data/pallet/test_indoor,_docs/history/2026-04-07.md,113,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,| `data/pallet/test_indoor/` | 테스트 렌더링 출력 10프레임 |
data/pallet/test_indoor/000000.png,_docs/history/2026-04-07.md,62,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,출력: `data/pallet/test_indoor/000000.png ~ 000009.png` (10프레임)
data/pallet/test_indoor_v1,_docs/history/2026-04-07.md,100,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,- 출력: `data/pallet/test_indoor_v1/` (1000 PNG + 1000 JSON + overlay)
data/pallet/test_indoor_v1,_docs/history/2026-04-07.md,114,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,| `data/pallet/test_indoor_v1/` | 대량 렌더링 출력 1000프레임 + JSON + overlay |
data/pallet/textures_wood,_docs/history/2026-06-16.md,228,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,"- **경로 B(Polyhaven 실사 1k png 3종) 채택** — `data/pallet/textures_wood/`, 전부 magenta 0%, lum_std 0.064~0.109(진짜 결):"
data/pallet/textures_wood,_docs/history/2026-06-16.md,519,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,1. **나무 텍스처 6종 추가** (Polyhaven 2k png diff+nor_gl+rough → `data/pallet/textures_wood/`):
data/pallet/train_4pallet_mask_v1,_docs/history/2026-07-06.md,36,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,"- 명령: `bash scripts/data_prep/blender/run_4pallet_mask.sh --num_frames 10000 --out data/pallet/train_4pallet_mask_v1 --seed 4444 --batch_size 250` (RGB Cycles 24spp, ~2.5s/frame 실측 → 약 7h)."
data/pallet/train_4pallet_mask_v1,_docs/history/2026-07-06.md,44,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,"- 정리: `_smoke_4pallet` 파일 비움. 산출물 `data/pallet/train_4pallet_mask_v1/` (+ `_pilot` 40장, gen.log)."
data/pallet/train_4pallet_mask_v1_pilot,_docs/history/2026-07-06.md,33,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,"- 출력 `data/pallet/train_4pallet_mask_v1_pilot/` 40장. **내 독립검증**: 분포 P0=55/P1=15/P2=20/P3=10%, physical_audit 전수 grounded 40/40·penetration 0/40, 콘택트시트 육안 마스크실루엣·9kp정렬·P0 dark plastic 정상. 마스크 빈것 아님 확인."
data/pallet/train_palletobj_v3,_docs/history/2026-06-23.md,103,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,- 명령: `blender -b _sandbox_palletobj_production.blend --python run_mass_10k.py -- --num_frames 10000 --out data/pallet/train_palletobj_v3 --seed 2026 --progress_every 100 --purge_every 50 --chunk_size
data/pallet/training_data,_docs/preprocessing/data_pipeline.md,119,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,data/pallet/training_data/
data/pallet/training_data/batch_01,_docs/preprocessing/data_pipeline.md,17,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,scripts/data_prep/gen_replicator_data.py --num_frames 200 --output_dir data/pallet/training_data/batch_01
data/pallet/training_data/train,_docs/preprocessing/data_pipeline.md,64,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,python scripts/data_prep/visualize_annotations.py --data_dir data/pallet/training_data/train
data/pallet/training_data/train(4000,_docs/history/2026-06-15.md,270,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,- weights/pallet_v11: data/pallet/training_data/train(4000) 으로 fine-tune. 라벨에 keypoint_convention/perm_v4 필드 없음 = object-frame 고정으로 학습됨.
data/pallet/training_data_v4,_docs/history/2026-06-16.md,111,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,--out_dir data/pallet/training_data_v4 --seed 7000 --batch_size 200 --overlay_every 100
data/pallet/training_data_v4,_docs/history/2026-06-16.md,144,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,- 풀 생성(확정): `bash scripts/data_prep/blender/run_dataset_v4.sh --n_train 4000 --n_val 1000 --out_dir data/pallet/training_data_v4 --seed 7000 --batch_size 200 --overlay_every 100`
data/pallet/training_data_v4,_docs/history/2026-06-17.md,120,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,--out_dir data/pallet/training_data_v4 --seed 7000 --per_folder 200 --overlay_every 1`
data/pallet/training_data_v4,_docs/history/changelog.md,13,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,"- 2026-06-16: gen_dataset_v4.py + run_dataset_v4.sh 신규(camera-facing 0123 대규모 생성, CLI/resume/chunk재시작). 파일럿 120장 라벨 전수통과(conn0/front_near/simple-quad 120/120, 마젠타0), elev15~58·scene1/3·ratio42%·azim36"
data/pallet/training_data_v4_emptywood,_docs/history/2026-06-17.md,179,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,scene_2/3(목재)만 + 팔레트 위 cargo box 없는 **빈 데크** 3000장 보조셋을 `data/pallet/training_data_v4_emptywood/`로 생성하기 위한 설정을 검증. 주변 distractor는 유지. 이번 작업은 설정 점검 + 소량(15) 검증 + 풀 커맨드 확정까지 (풀 3000은 메인이 실행).
data/pallet/training_data_v4_emptywood,_docs/history/2026-06-17.md,211,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,--out_dir data/pallet/training_data_v4_emptywood \
data/pallet/training_data_v4_pilotA,_docs/history/2026-06-16.md,143,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,"- 구 파일럿 백업: `data/pallet/training_data_v4_pilotA/` (raycast0.55, industrial-only)."
data/pallet/training_data_v4_split,_docs/history/2026-06-16.md,451,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,--out_dir data/pallet/training_data_v4_split \
data/pallet/training_data_v4_split,_docs/history/2026-06-16.md,462,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,"v4 생성 중단 상태(`data/pallet/training_data_v4_split/`: train_batch_000/001 완성 200쌍, batch_002 부분 49쌍). 기존 구조가 `<batch>/{images,json,overlay(sparse, overlay_NNNNNN.png),_crop,_stats}/`로 분리돼 DOPE 로더가 바로 못 씀"
data/pallet/training_data_v4_split,_docs/history/2026-06-16.md,488,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,- 실행: `python scripts/data_prep/blender/_restructure_to_r3.py --root data/pallet/training_data_v4_split --batches train_batch_000 train_batch_001 --delete train_batch_002`
data/pallet/training_data_v4_split,_docs/history/2026-06-16.md,506,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,--out_dir data/pallet/training_data_v4_split \
data/pallet/trunc_addon_v1,_docs/history/2026-07-03.md,34,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,저앙각+truncation 합성셋. gen_palletobj_scenarios.py 복사→`gen_trunc_addon.py`(원본 무수정=addon_v1 repro 보존) + `run_trunc_addon.py` 드라이버 + `audit_trunc_addon.py`. 위임: palletobj-blender-pipeline-techniques agent(파
